thai_text,karen_text,pronunciation,confidence
จมูก,နှာခေါင်း,	นะเค,1.0
ใต้บ้าน,တၢ်ခိၣ်ဖလၢ,เด้อพะละ,1.0
รถเมล์,မီၢ်တီၢ်ကါဒိၣ်,หม่อ-ต่อ-กา-ผะ-โด้,1.0
ยืน,ဆ့ထၢၣ်,เช-เท้อะ,1.0
เรียน,ဂ့ၣ်လံာ်,เหง้-เหละ,1.0
ไม่ไปไหน,တၢ်နံၢ်ဘၣ်ဖူထာ်,เต๊อะแลนิอปูป่า,1.0
เก้า,9,คุย,1.0
กระเป๋า,ကၠံ,เก่อ,1.0
เขียง,ခူ,คู,1.0
งูเขียว,င့ၢ်စီလ့ၢ်,หนื่อเสล่า,1.0
คม,ရ့ၤဖံ,เอะ,1.0
จาน,လဲက့ၢ်ဘဲလ့ၢ,เลคอะแปะแหละ,1.0
แต่งงาน,ထီၣ်ပွါ,ถ่อปว่า,1.0
ตำรวจ,ယ့သါ,เย-ซา,1.0
ถ ฐ ท,ထ,ทะเต่อหมิ,1.0
หน้าบ้าน,တၢ်ခိၣ်မဲၤယၢ,เด้อแมะยา,1.0
กระบวยน้ำ,ထီခီၣ်ပှၢ်ဘၣ်လ့ၢ်,ทีหน่อเบอลอ,1.0
ช้อน,ခီၣ်န့ၢ်ဒ့ၢ,หน่อเดอ,1.0
ข้าวเปลือก,ပှၢ်ဘ့ၣ်,ปือเบะ,1.0
แคนเล็ก,ခံာ်ဖိ,แควโพ,1.0
กอด,ဖိးဟု,โผะ-ฮือ,1.0
พ ภ,ဖ,พะที่ / พะเปอทวี,1.0
แคนไม้,ခံာ်ဝံၤ,แควเส่,1.0
เด็กผู้ชาย,ဖံကွါဖံ,เพ้าะควาโพ,1.0
ซะนี,ခ့ၢ်ယုၢ်ပာ်,กอยูป่า,1.0
ฆ้องกบ,ကံလ့ၤ,โกละ,1.0
ฝักมีด,ပၢ်ကၠံ,แค่คา,1.0
แกะ,စံဖ့ၢ်,โซ่โพ,1.0
ส้มโอ,မ့ၢ်ဖ့ၢ်စ့ၢ်,มะโอโส่า,1.0
ฤดูฝน,တၢ်ဃုၤခါ,ต่าจูค่า,1.0
เมืองเชียงใหม่,ဝ့ၢ်ဂံၢ်,แวะกี้แม,1.0
เหลม,ခီ,จุ่,1.0
วันนี้คุณมีเรียนไหม,တနံၣ်ညါအံၤနဂ့ၢ်လံးဧၤ,เต่อะ-หนี่-ยา-อี่-เน่อ-เหง้-เหล่ะ-อา,1.0
ปลาซิว,န့ၢ်ဖိပှၢ်ဘ့ၣ်,หนู๋าปอบอ,1.0
ไปไร่,လံၢ်စူၢ်ခီ,แลซูคี,1.0
นอน,မီၤ,มี,1.0
เขียน,ကဲာ်,แกว่ะ,1.0
ขาล,ဘ့ၣ်ဘ့ၣ်ကီ,เบาะไช่ะ,1.0
เเว่นตา,မဲာ်ဒိး,แหม่ะ-โด่ะ,1.0
ถุงเท้า,ဖ့ၢ်ပှၢ်လ့ၢ်,บ่อผล่อ,1.0
ขัน,ကၠံ,ก๊ะ,1.0
วันอังคาร,မုၢ်ခေါ,หมื่อฉ่า,1.0
พระอาทิตย์,မုၢ်,หมื่อ,1.0
ป่าเบญจพรรณ,က့ၢ်န့ၢ်ဖၢ,เก่อเนอพา,1.0
มะรืน,မုၢ်ယါတဲၣ်ဘီၤ / အဲၣ်တဲၢ်နီ,หมื่อยาต่าบี / อิเก่อถานิ,1.0
ถุงมือ,စုဖျီၣ်,จือ-พล้อะ,1.0
แบน,ဝံၤဘီ,บิ,1.0
วันอาทิตย์,မုၢ်ဘူၢ်,หมื่อบู่,1.0
ความสะดวก,တၢ်စ့ဘ့လ,ต่าเส่เบล,1.0
ซ ศ ษ ส,သ,ซะเตาะซอ,1.0
ที่กินน้ำ,ထီတၢ်ခလီ,ทีเต่อหล่อ,1.0
สะล้อ,သံခူ,ซอตู่,1.0
สีน้ำตาล,ဘၣ်ပာ်,บอป่า,1.0
ภูเขา,တၢ်မၤလှူၢ်,ต่าหลู่,1.0
วันนี้อากาศดีจัง,တနံၤညါမုၢ်နံၤဂ့ၤ,เต่อะ-หนี่-ยา-หมื่อ-เหง่,1.0
มะเขือ,ဆ့ၢ်ကီ,เส่อกอ,1.0
ก,က,ก๊ะยอธิ,1.0
จ,စ,จ๊ะเต๊อะเพลอะ,1.0
ร้านนี้ขายอะไรบ้าง,တၢ်ဆဲၢ်အံၤဆါမဒုလီၤစ့ၢ်,ต้า-แช่-อี่-ชา-เหม่อ-ดือ-หล่อ-เจ้,1.0
บ่อน้ำ,ထီနၤဘ့,ทีนาบอ,1.0
เครือ,ဝံၤထံၣ်ဘီၢ်,ต่ามื้อ ต่าโบ,1.0
กางเกง,ဖျီၣ်ခံ,พล้อ-คี,1.0
เด็กน้อย,ဖံဒီးဖံလၢ,โพล่ดีโพล่ำ,1.0
บ่าง,ဖ့ၢ်လီ,ผลี,1.0
ตำข้าว,ယီၢ်ဘီၢ်,หย่อบือ,1.0
ฟ้า,မုၢ်ခီၣ်,มุโข่,1.0
กว้าง,လံၤ,แหล่,1.0
น,န,นะเต่อซิ,1.0
ป่าสน,ဆ့ၢ်ဂၢ,โชกลิ๊,1.0
กาต้มน้ำ,ထီကလၤဒ့,ทีคลอเดอ,1.0
กระเป๋า,ကၠံ,เก่อ,1.0
เหลม,ခီ,จุ่,1.0
ก๋วย,သ့ၣ်ကွံာ်,เส่อก๊ะ,1.0
เสื้อของสาว,ဆ့ၢ်ဝ,เซวา,1.0
กิ้งก่า,ခြ့ၢ်ဒ့ၢ်,ขวีโด,1.0
ร,ရ,ระเก้,1.0
แมงมุม,က့ၢ်ဘ့ၢ်,เก่อปอ,1.0
เมื่อวาน,မုၢ်ယါအံၤ / မုၢ်ယါစါက့ၤ,หมื่อยานิ / หมื่อยาซากอ,1.0
สาว,မုၢ်လ့ၢ်,หมื่อเก่อนอ,1.0
โรงเรียน,ဗုၢ်ပူ,โจ๊ะปู่,1.0
แตงโม,သ့ၣ်ဒ့ၢ်စ့ၢ်,แต้ตื่อส่า,1.0
นิ้วมือ,စုနၢၤ,จือ-เนอ,1.0
ห้า,5,แย้ะ,1.0
ระกา,စံ,ซอ,1.0
ไข้,လိၢ်ကိၣ်,โหล่-โก้,1.0
ฆ้องกบ,ကံလ့ၤ,โกละ,1.0
ก่อน,လီၤယါ,เลอ-ยา,1.0
ตอนบ่าย,မုၢ်အ့ၣ်လ့ၣ်,หมื่อเม่อ,1.0
สลบ,ကါမံအူ,ซา-ปี่-น้อะ-สะ,1.0
เออ,ဦ,สระเออ,1.0
เลี้ยงควาย,လံၢ်အၢၣ်နုၢ်,หล่อเปอะนา,1.0
เสื้อแขนสั้น,ဆ့ၢ်ခိၣ်မ့ၢ်ဖ့ၢ်,เซกา มีอ่อ,1.0
ยุง,ပှၢ်ခိ,ปี๋โจ,1.0
ระยะเวลา,တၢ်ဆၢက့ၤ,ต่าเซอเก๊อะต่อ,1.0
ข้าว,မဲ,เม,1.0
หน้าอก,သာ်ယါပငါၣ်,สะ-ยะ-ปง้า,1.0
เด็กผู้ชาย,ဖံကွါဖံ,เพ้าะควาโพ,1.0
สาม,3,เซอ,1.0
ตะไคร้,ဆ့ၢ်ကံဘီ,เส่อแคบี,1.0
ผู้ชาย,ဖံကွါ,เพาะควา,1.0
ฉลู,တၢ်အ့တၢ်,ต่าเต๊อะ,1.0
ไปเที่ยวป่า,လံၢ်ဆၢပၢၤ,แลสะปากา,1.0
ปัจจุบัน,မံၤလဲၢ်အဲၣ်,หน่อแลคื่อ,1.0
คางคก,ဒ့ၢ်စီၢ်,เดะสือ,1.0
กำไล,ခိၣ်လ့ၢ် / ထီပှၢ်,จี๋กอ / ทีปี่,1.0
หา,ဃုကွၢ်,คงือ-กว้า,1.0
ลูกเห็บตก,ပူၤလီ,สู่ลอ,1.0
ลูกหว้า,သ့ၣ်မ့ၢ် / ဝ့ၢ်စ့ၢ်,เส่อมี / เสมี,1.0
ระเบียงบ้าน,တၢ်ခိၣ် / တနွံၣ်ဒူ,โกโข่ / โกนะเจ,1.0
หอย,ဗီၣ်,โบล่,1.0
ลิง,တၢ်မ့ၢ်လီၢ်,ต่าหม่อลิ,1.0
ตอบ,တဲဆၢ,แต-เชอ,1.0
ขวด,ကိၤ,โก,1.0
เนื้อหมู,က့ၢ်န့ၢ်,เกาะหนู๋า,1.0
บ,ဗ,บาเหมปู่,1.0
เตี้ย / สั้น,ဖျံ,ฝื่อ,1.0
ไฟ,မုၢ်အူ,เหม่อู,1.0
เกลือ,အ့စၢ,อี้ส่า,1.0
ตลอดเวลา,သံထီ,ทอโบ,1.0
พี่เขย,န့ၢ်,แหว่,1.0
ขลุ่ย,မိၣ်ကူ,ปอถู่,1.0
กรกฎาคม,လါကယာ်,ลาเขาะ,1.0
ดินสอ,လံာ်ဘိ,เล่ะ-โบ,1.0
ไม้คน,ခီၣ်ပှၢ်ဒ့ၢ်ခၣ်,หน่อปโดข่วา,1.0
ลูก,ဖဲ,โพ,1.0
ผู้หญิง,ဖံခမ့ၢ,เพาะหมื่อ,1.0
เตาไฟ,ဂ့ၤဖိ,เพยล่าปู่,1.0
ใหญ่,နံၤ,โคะ,1.0
เกลือ,အံၤသၣ်,อี-ซะ,1.0
กระรอก,လံး,ลิ,1.0
ลูกพลับ,လ့ၢ်မ့ၢ်န့ၢ်,เลไม่หน่อ,1.0
ตุ่น,ဝီ,วี,1.0
เปลี่ยนเเปลง,ပျ့ၣ်သး,เปล้ะ-สะ,1.0
รถไฟฟ้า,ကါမံအူ,กา-มิ-อู,1.0
กระโดด,တၢၢ်ဃဝ့ၤ,เต่อะ-เคว,1.0
ปิ่นปักผม,ခိၣ်စံ,โบ่แซะ,1.0
เเหวน,စုမသ့း,จือ-เหม่อ-เส่ะ,1.0
ร้องเพลง,ကဲတၢ်ဆဲခီ,เก๊าะตาซะทิ,1.0
ไข่ไก่,စံဒ့,ซอดี้,1.0
ดอกไม้,မီ,พอ,1.0
กระหม่อม,ခေါင်းထိပ်,	โข่ทึ่,1.0
สวัสดี,ဟုၢ်မုၢ်ခိၣ်ပဲာ်,โอมูโข่เปอ,1.0
วันศุกร์,မုၢ်လံၤခီၣ်,หมื่อเลซอ,1.0
มรสุม,တၢ်မၤအဲာ်ယါဆ့,ต่ามาเออย่าซะ,1.0
ป่าพิธีกรรม,တၢ်ဖီဒဲ,ต่าฟีโดะ,1.0
ดิบ,မုၢ်လၢ,โมลา,1.0
สัญญาณ,သာ်ယါ,ส่า-ยา,1.0
ผม,ခိၣ်သူၤ,โคะ-ซู,1.0
ตีข้าว,မီၤဘီၢ်,ผ้อบือ,1.0
ว,ဝ,วะเต่อวอ,1.0
ไฟจราจร,မံၣ်အူကလဲၤ,มิ-อู-แกล,1.0
ไร่หมุนเวียน,ခီ,ซี่,1.0
ฉิ่ง,သံခီ,ซอแคะ,1.0
ตั๊กแตน,န့ၢ်ဒ့ၢ်,แดะตะ,1.0
ผู้เฒ่าผู้แก่,ပာ်စ့ၢ်ပာ်ဘၣ်,ปาซะปาก่า,1.0
คิ้ว,မဲးတူၣ်ခိၣ်,แหมะ-ตู้-โคะ,1.0
ที่เสียบพริก,ခီၣ်န့ၢ်ဒ့ၢ်,หน่อดีอ่อ,1.0
เด็ก,ဖိၡာ်,โพ-ซะ,1.0
รุนเเรง,ဆူၣ်,ชุ,1.0
กางเกง,ထဲၤ,แท,1.0
บัดมือ,သီၤ,ซี่,1.0
หญ้า,မီၤ,หน่อ,1.0
รับ,ဟံန့ၣ်,ฮี-เน้,1.0
ถั่วฝักยาว,ပှၢ်ထ့ၢ်စၢ,เปอะเทาะส่า,1.0
ซักถาม,စးတၢ်,จะ-ต้า,1.0
ลำไย,က့ၢ်လၢက့ၢ်လ့ၤ,เก่อแลเหลค่อ,1.0
แก้วน้ำ,ထိၤနီၣ်ဘလၢၣ်,ที-น้อะ-เบลอะ,1.0
หมี,တၢ်စု,ตาซู,1.0
สอน,ထံၣ်ထံၣ်,โส่โล,1.0
ผักทอง,လံၢ်ကဘ့ၣ်,หลู่เคบอ,1.0
ลุง / น้ำ อา,ပာ်တီ,พาตี,1.0
น้อง,ပှၢ်,ปือ,1.0
หน้า,မျက်နှာ,แมะส่า,1.0
สีขาว,ဝါ,วา,1.0
วันนี้,တနံၤညါ,เต่อะ-หนี่-ยา,1.0
น้องเขย / น้องสะใภ้,ပှၢ်ဒ့,ปือเด,1.0
ไปหาของกิน,လံၢ်အၢၣ်နီၢ်ဧၢ်တၢ,แลมือเอาะต่า,1.0
ไปเที่ยว,လံၢ်ခ,แลสะ,1.0
ไปซื้อของ,လဲၤပှ့ၤတၢ်,แหล่-เปง่-ต้า,1.0
ทัพพี,ခီၣ်န့ၢ်ဒ့ၢ်က့ၢ်ခၢ,หน่อเดอกะคอ,1.0
ทาก,စု,ซุ,1.0
คุณจะกินอะไร,နကအီၣ်မဒုလီၤ,เหน่อ-เก่อะ-อ้อ-เหม่อ-ดือ-หล่อ,1.0
ทำ,မၤတၢ်,หม่า,1.0
ตรวจ,ကဝါၣ်,กว้า,1.0
วันนี้,မုၢ်ယါအ့ၤ,หมื่อยาอิ,1.0
เหลน,လုၢ်,โล,1.0
บันได,မ့ၤလီ,ขอโล,1.0
สีแดง,ကွံာ်,กอ,1.0
ทอผ้า,ထၣ်တၢ,ทาต่า,1.0
เก้ง,တၢ်ခိၣ်,ตาโย,1.0
ปลา,န့ၢ်ဖိ,หนู๋าโพ,1.0
ครู / อาจารย์,တၢၢ်ရၣ်,เตอะ-ระ,1.0
หนุ่มน้อย,ဖံစါကွါဖံ,เพ้าะสะควาโพ,1.0
หน้าปลูกข้าว,စူၢ်ဘၣ်,สู่บ่อกา,1.0
ขอบคุณ,တၢ်ဘျုး,ต่า-บลึ,1.0
ตลอดวัน,သံနီ,ซอนี,1.0
ป่าพิธีกรรม,တၢ်ဖီဒဲ,ต่าฟีโดะ,1.0
เด็ก,ဖံလၢထီ,โพล่ำไธ,1.0
ใหญ่,နံၤ,โคะ,1.0
เล็บ,စုၤမ့း,จือ-เมะ,1.0
หาย,လီၤမၢ်,หล่อ-หม้า,1.0
กอด,ဖိာ်ဟုၤ,โผะ-ฮือ,1.0
ลื่น,ဝၢ်,เบล,1.0
น้ำปลา,န့ၢ်ဖိဖ့ၢ်,หนู๋าโพพี่,1.0
บาง,ကူ,ปู,1.0
ของเธอ,နုၢ်ဧၢ်,เบอะต่า,1.0
ไปเกี่ยวข้าว,လံၢ်ဂီၢ်ပူ,แลกีปู่,1.0
วัด,နၢ်ပူ,หน่าปู่,1.0
ลำห้วย,ထီခီၣ်ကလၤ,ทีโกล๊ะ,1.0
รักเเร้,ကံၣ်လါၢ်ပူၢ်,กี้-หล่ะ,1.0
เข้าใจ,နံၣ်ပာ်ခ့ၣ်ဖိၣ်,หน้าเปอคอพโล,1.0
ผ้าคลุมหรือกระโปรง,နံၤ,นี,1.0
เด็กผู้หญิง,ဖံခမ့ၢဖံ,เพ้าะหมื่อโพ,1.0
เรื่องราว,တၢ်ခဲၣ်ထံၣ်တၢ်ကလုၢ်,ต่าเก่าต่าโกล,1.0
กล้วย,သ့ၣ်ကံ့,เส่อกวี,1.0
สี่,4,ลุ้ย,1.0
ผู้หญิง,ပိၢ်မုၢ်,โป่-มึ,1.0
ความสุข,တၢ်မံၤဆ့ၣ် / တၢ်မံၤတၢ်ပဲာ်,ต่ามื้อซะ / ต่ามื้อ ต่าเปอ,1.0
เสียม,ဗီ,บอ,1.0
ฤดูหนาว,တၢ်ခဲၣ်ခါ,ต่าเก่อค่า,1.0
ไปหาหมอ,လဲၤအိၣ်မီး,แหล่-โอ้ะ-เหมาะ,1.0
หายใจ,ကၢာ်သါ,เกอะ-ซา,1.0
แตน,တၢ်အ့ဒ့ၢ်,เต่อเด,1.0
ฟัน,မဲၤ,แม,1.0
ล,လ,ละเกโกะ,1.0
ขวดน้ำ,ထီကလၤ,ทีเดอ,1.0
ถางหญ้า,ကလ့ၤနၢ်,กล่อหน่อ,1.0
ป่าดิบชื้น,က့ၢ်န့ၢ်မုၢ်,เก่อเนอหมื่อ,1.0
แบน,ဝံၤဘီ,บิ,1.0
จิ้งจก,ဒ့ၢ်ခ့ၣ်,ดอเหล่,1.0
หก,6,คงือ,1.0
สาวน้อย,မုၢ်လ့ၢ်ခမ့ၢဖံ,หมื่อเก่อนอโพ,1.0
นางนวล,ဘ့ၣ်လ့ၢ်ဘ့ၢ်လံၢ်,แบละบลอ,1.0
เด็กน้อย,ဖံဒီးဖံလၢ,โพล่ดีโพล่ำ,1.0
เด็ก,ဖံလၢထီ,โพล่ำไธ,1.0
ตุลาคม,စီၢ်န့,ซีล่า,1.0
ดาบ / กระบี่,န့,นะ,1.0
มี,အိၣ်,โอ้ะ,1.0
มะขาม,သ့ၣ်မ့ၢ်က့ၢ်,เส่อมอเก๊ะ,1.0
ตลอดเวลา,သံထီ,ทอโบ,1.0
จอ,ခွ့ၢ်,จุ่ย,1.0
ฝ่าฟืน,ပၢ်လ့ၤမံၤ,พะเส่หมื่อ,1.0
พฤษภาคม,ကဲၢ်နၢ,เคะญา,1.0
คม,ရ့ၤဖံ,เอะ,1.0
ของ,တါၣ်ဃၢၢ်,ต้า-เหค่อ,1.0
ทำกับข้าว,မၢ်အၢၣ်တၢ,มาเอาะต่า,1.0
เดี๋ยวนี้,မံၤလဲၢ်အဲၣ်,หน่อแลคื่อ,1.0
อึ่งอ่าง,ဒ့ၢ်ခူ,เดะจู,1.0
มะนาว,ဆ့ၢ်မ့ၢ်န့ၢ် / န့ၢ်ကလ့ၤစၢ,เซอะมะนอ / นอแกละซ่า,1.0
พรุ่งนี้,လၢဂီၤ,เลอ-หง่อ,1.0
ม้า,ကၢာ်သွၣ်,เกอะ-เซ้ะ,1.0
ความหวัง,တၢ်မံၤအလၢကွၢ်ကျုၤ,ต่ามื่ออล่ากว่าโจ๊ะ,1.0
ไปทำบุญ,လံၢ်မၤဘူၣ်တၢ,แลมาบู่ต่า,1.0
ยา,တၢာ်သံၣ်,เต่อะ-ซิ,1.0
คุณชื่ออะไร,နမံၤစါလီၤ,เหน่อ-หมี่-จา-หล่อ,1.0
ฆ้อง,မီ,โม,1.0
มี,အိၣ်,โอ้ะ,1.0
ฤดูร้อน,တၢ်ခိၣ်ခါ,ต่าไก่ค่า,1.0
มีดเล็ก,ဒ့ၢ,ดอ,1.0
หัวนอน,င့ၤလီၢ်ခိၣ်,หล่อมีไข่,1.0
แต่งงาน,ထီၣ်ပွါ,ถ่อปว่า,1.0
คำตอบ,တၢ်ဂ့ၤဆ,ต่าจิ๊เซอ,1.0
เนื้อควาย,ပှၢ်န့ၢ်န့ၢ်န့ၢ်,เปอะหน้าหนู๋า,1.0
ชีวิต,တၢ်အုၢ်မူ,ต่าโอะมู,1.0
-ร,□ - ၁,ก๊ะ-ระ-กีร๋า,1.0
ใบขับขี่,လ့ာ်နီကါ,เหล่ะ-นอ-กา,1.0
-ว,△ - ၀,ก๊ะ-วะ-กีว๋ะ,1.0
แพะ,မ့ၢ်ဖ့ၢ်လ့ၢ်,แม่,1.0
ยางลบ,ယါလိာ်,ยา-โล้ะ,1.0
ดาว,ဆံၣ်,ฉ่ะ,1.0
เข่า,ခီၣ်လ့ၣ်ခိ,เคาะ-เล่-โค้ะ,1.0
รับฟัง,ဂ့ၤနၢ,เก๊อะหน้า,1.0
คุณทำได้ไหม,နုၢ်မံၤအဲၣ်ခလီ,เหนอมนาอะ,1.0
เครื่องบิน,ကၢာ်ဘီညူၢ်,เกอะ-บอ-หยู่,1.0
หอย,ဗီၣ်,โบล่,1.0
